# Mag       Xrel    Yrel  Bx      By        Bz      x         y        z        rx       ry       rz
  159.00     -1      4     8.20   148.36    54.87   0.0164  -0.5945   0.2315   2.9280  -1.0700   0.1791
  142.48     -1      5     7.16   134.27    44.97   0.0164  -0.5945   0.2315   2.9280  -1.0700   0.1791
  138.78      0    -20     8.29   131.57    40.09   0.0312  -0.5769   0.2322   2.9279  -1.0700   0.1790
  144.17      0    -15     8.02   134.05    48.91   0.0280  -0.5807   0.2319   2.9280  -1.0699   0.1791
  147.28      0    -10     7.65   136.14    53.36   0.0248  -0.5846   0.2317   2.9279  -1.0699   0.1790
  147.66      0     -5     7.34   135.58    55.34   0.0216  -0.5884   0.2317   2.9279  -1.0699   0.1790
  150.59      0     -4     8.58   139.24    53.49   0.0209  -0.5891   0.2319   2.9280  -1.0699   0.1790
  161.77      0     -3     9.04   153.18    49.45   0.0203  -0.5900   0.2313   2.9278  -1.0700   0.1790
  156.70      0     -2     8.93   148.44    47.09   0.0197  -0.5907   0.2312   2.9279  -1.0701   0.1790
  165.30      0     -1     8.75   151.59    62.50   0.0190  -0.5915   0.2313   2.9280  -1.0701   0.1790
  157.49      0      0     8.08   145.08    57.68   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  152.97      0      1     8.20   144.32    47.65   0.0177  -0.5929   0.2315   2.9279  -1.0700   0.1790
  151.10      0      2     7.84   140.74    51.63   0.0170  -0.5938   0.2312   2.9278  -1.0701   0.1789
  153.49      0      3     8.65   143.70    51.25   0.0164  -0.5945   0.2315   2.9280  -1.0700   0.1791
  158.40      0      4     9.49   150.17    47.17   0.0164  -0.5945   0.2315   2.9280  -1.0700   0.1791
  148.89      0      5     7.01   132.20    67.97   0.0151  -0.5960   0.2315   2.9278  -1.0701   0.1789
  137.25      0     10     6.85   127.13    49.39   0.0119  -0.5999   0.2308   2.9280  -1.0700   0.1790
  129.11      0     15     6.79   125.75    28.26   0.0088  -0.6037   0.2309   2.9278  -1.0699   0.1791
  125.42      0     20     6.57   118.20    38.93   0.0056  -0.6075   0.2303   2.9279  -1.0699   0.1790
  148.54      1     -5     8.29   139.92    46.71   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  148.43      1     -4     8.45   139.79    46.96   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  153.25      1     -3     7.99   141.64    54.75   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  154.29      1     -2     8.91   144.85    49.77   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  153.48      1     -1     8.44   142.94    51.97   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  166.85      1      0     9.00   154.75    60.34   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  160.92      1      1     8.62   150.54    53.76   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  165.54      1      2     7.95   153.53    60.06   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  155.03      1      3     7.17   143.02    57.74   0.0172  -0.5951   0.2311   2.9280  -1.0701   0.1790
  147.30      1      4     7.47   137.02    51.22   0.0165  -0.5959   0.2313   2.9280  -1.0701   0.1790
  147.37      1      5     7.02   137.55    50.17   0.0159  -0.5967   0.2316   2.9279  -1.0700   0.1790
  158.93      2     -5     9.40   147.05    56.73   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  147.76      2     -4     8.03   138.76    47.20   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  154.98      2     -3     9.13   145.84    49.57   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  149.74      2     -2     7.84   142.11    43.87   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  153.38      2     -1     8.11   142.10    52.74   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  164.68      2      0     8.36   153.06    58.50   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  168.04      2      1     7.49   151.55    68.63   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  163.81      2      2     8.74   152.04    59.17   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  147.03      2      3     7.87   137.75    49.15   0.0179  -0.5958   0.2316   2.9280  -1.0700   0.1790
  145.06      2      4     7.40   135.77    49.38   0.0173  -0.5965   0.2317   2.9280  -1.0700   0.1790
  146.65      2      5     7.75   136.91    49.24   0.0167  -0.5973   0.2315   2.9280  -1.0700   0.1791
  156.66      3     -5     8.66   144.00    60.17   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  149.31      3     -4     8.46   140.54    47.15   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  149.18      3     -3     7.93   137.58    56.28   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  157.91      3     -2     8.58   144.29    61.54   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  154.23      3     -1     9.21   146.04    46.76   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  163.02      3      0     8.83   149.23    63.49   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  156.23      3      1     7.80   146.76    50.31   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  152.86      3      2     8.27   145.67    43.88   0.0193  -0.5956   0.2317   2.9280  -1.0701   0.1790
  152.14      3      3     7.32   140.38    55.28   0.0187  -0.5964   0.2317   2.9280  -1.0700   0.1790
  152.26      3      4     7.48   141.81    52.22   0.0182  -0.5973   0.2308   2.9277  -1.0700   0.1789
  144.68      3      5     7.88   136.90    43.93   0.0175  -0.5979   0.2313   2.9281  -1.0701   0.1790
  153.77      4     -5     9.69   146.57    44.36   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  157.16      4     -4     9.90   148.77    47.90   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  150.80      4     -3     8.38   143.56    43.04   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  144.62      4     -2     7.59   136.98    44.02   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  148.86      4     -1     8.50   140.74    45.60   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  158.65      4      0     8.59   147.26    54.74   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  158.20      4      1     7.61   147.36    54.48   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  160.16      4      2     8.06   147.19    59.42   0.0201  -0.5963   0.2317   2.9278  -1.0699   0.1789
  156.79      4      3     9.09   147.08    51.95   0.0195  -0.5971   0.2316   2.9279  -1.0700   0.1790
  157.13      4      4     7.98   145.61    57.14   0.0188  -0.5978   0.2319   2.9280  -1.0699   0.1791
  144.07      4      5     7.65   136.07    44.63   0.0183  -0.5987   0.2308   2.9278  -1.0699   0.1789
  135.43      5    -20     8.24   127.72    42.91   0.0351  -0.5802   0.2322   2.9279  -1.0698   0.1791
  138.29      5    -15     8.59   132.76    36.26   0.0318  -0.5840   0.2322   2.9279  -1.0700   0.1789
  144.67      5    -10     8.02   135.62    46.86   0.0286  -0.5878   0.2323   2.9280  -1.0699   0.1791
  144.67      5     -5     7.63   134.98    48.52   0.0253  -0.5916   0.2325   2.9280  -1.0701   0.1791
  144.99      5     -4     8.10   138.16    41.38   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  157.06      5     -3    10.29   150.40    43.46   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  146.85      5     -2     7.66   138.68    45.75   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  153.21      5     -1     8.53   144.05    48.21   0.0198  -0.5921   0.2316   2.9280  -1.0699   0.1791
  146.96      5      0     7.95   135.19    53.89   0.0221  -0.5954   0.2318   2.9280  -1.0701   0.1790
  153.85      5      1     7.88   144.01    51.69   0.0195  -0.5892   0.2314   2.9281  -1.0702   0.1789
  153.93      5      2     8.43   144.62    49.26   0.0208  -0.5970   0.2320   2.9277  -1.0700   0.1790
  152.02      5      3     8.47   143.22    48.22   0.0202  -0.5977   0.2317   2.9280  -1.0700   0.1790
  148.66      5      4     7.55   136.80    55.59   0.0196  -0.5985   0.2317   2.9280  -1.0699   0.1790
  143.19      5      5     7.47   133.13    48.72   0.0190  -0.5993   0.2315   2.9280  -1.0700   0.1789
  141.36      5     10     7.21   132.78    45.15   0.0157  -0.6031   0.2316   2.9278  -1.0700   0.1790
  138.12      5     15     7.00   128.34    47.48   0.0125  -0.6069   0.2313   2.9280  -1.0700   0.1790
  125.15      5     20     5.63   118.99    36.42   0.0125  -0.6069   0.2314   2.9279  -1.0701   0.1790
  132.90     10    -20     8.44   123.89    45.16   0.0388  -0.5833   0.2331   2.9279  -1.0700   0.1789
  132.49     10    -15     8.78   127.72    33.30   0.0356  -0.5871   0.2330   2.9280  -1.0701   0.1790
  140.04     10    -10     7.95   130.01    48.59   0.0125  -0.6069   0.2314   2.9279  -1.0701   0.1790
  142.69     10     -5     7.08   127.08    64.22   0.0125  -0.6069   0.2314   2.9279  -1.0701   0.1790
  144.80     10      0     8.47   133.67    52.59   0.0260  -0.5987   0.2322   2.9278  -1.0700   0.1790
  140.67     10      5     8.02   129.98    50.45   0.0228  -0.6025   0.2319   2.9280  -1.0699   0.1791
  136.18     10     10     7.22   130.74    36.15   0.0195  -0.6063   0.2321   2.9280  -1.0698   0.1790
